縣市,HIV診斷年份,HIV診斷月份,性別,診斷年齡分組,個案數
台北市,2008,6,女,25-34,1
台北市,2008,6,男,15-24,5
台北市,2008,6,男,25-34,6
台北市,2008,6,男,35-49,4
台北市,2008,6,男,65以上,1
台南市,2008,6,男,15-24,4
台南市,2008,6,男,25-34,6
台南市,2008,6,男,35-49,1
台南市,2008,6,男,50-64,1
宜蘭縣,2008,6,男,35-49,3
南投縣,2008,6,女,25-34,2
南投縣,2008,6,男,25-34,1
屏東縣,2008,6,女,35-49,1
屏東縣,2008,6,男,25-34,2
屏東縣,2008,6,男,35-49,2
屏東縣,2008,6,男,50-64,1
苗栗縣,2008,6,男,15-24,1
苗栗縣,2008,6,男,25-34,1
苗栗縣,2008,6,男,35-49,1
桃園市,2008,6,女,15-24,1
桃園市,2008,6,男,15-24,5
桃園市,2008,6,男,25-34,2
桃園市,2008,6,男,35-49,3
高雄市,2008,6,男,15-24,6
高雄市,2008,6,男,25-34,5
高雄市,2008,6,男,35-49,8
基隆市,2008,6,男,15-24,1
基隆市,2008,6,男,25-34,3
基隆市,2008,6,男,35-49,2
基隆市,2008,6,男,50-64,1
雲林縣,2008,6,男,25-34,3
雲林縣,2008,6,男,35-49,2
雲林縣,2008,6,男,50-64,1
新北市,2008,6,女,25-34,2
新北市,2008,6,女,35-49,2
新北市,2008,6,女,50-64,1
新北市,2008,6,男,15-24,5
新北市,2008,6,男,25-34,5
新北市,2008,6,男,35-49,4
新北市,2008,6,男,50-64,2
新竹市,2008,6,男,15-24,2
新竹市,2008,6,男,25-34,1
新竹市,2008,6,男,65以上,1
新竹縣,2008,6,男,25-34,1
新竹縣,2008,6,男,35-49,1
嘉義縣,2008,6,男,15-24,1
彰化縣,2008,6,男,15-24,3
彰化縣,2008,6,男,35-49,1
澎湖縣,2008,6,男,25-34,1
台中市,2008,7,男,15-24,4
台中市,2008,7,男,25-34,8
台中市,2008,7,男,35-49,4
台北市,2008,7,女,25-34,2
台北市,2008,7,女,35-49,1
台北市,2008,7,男,15-24,2
台北市,2008,7,男,25-34,6
台北市,2008,7,男,35-49,6
台北市,2008,7,男,50-64,1
台東縣,2008,7,男,35-49,1
台南市,2008,7,男,15-24,3
台南市,2008,7,男,25-34,1
宜蘭縣,2008,7,男,25-34,1
花蓮縣,2008,7,男,35-49,1
屏東縣,2008,7,男,25-34,2
苗栗縣,2008,7,女,50-64,1
桃園市,2008,7,女,25-34,1
桃園市,2008,7,男,15-24,3
桃園市,2008,7,男,25-34,4
桃園市,2008,7,男,35-49,5
桃園市,2008,7,男,50-64,1
高雄市,2008,7,女,25-34,1
高雄市,2008,7,女,35-49,1
高雄市,2008,7,男,15-24,4
高雄市,2008,7,男,25-34,11
高雄市,2008,7,男,35-49,7
基隆市,2008,7,女,25-34,1
基隆市,2008,7,女,35-49,1
基隆市,2008,7,男,25-34,3
基隆市,2008,7,男,35-49,2
基隆市,2008,7,男,50-64,1
雲林縣,2008,7,男,25-34,1
新北市,2008,7,男,15-24,6
新北市,2008,7,男,25-34,21
新北市,2008,7,男,35-49,16
新北市,2008,7,男,50-64,2
新北市,2008,7,男,65以上,1
新竹市,2008,7,男,15-24,1
新竹市,2008,7,男,25-34,2
新竹市,2008,7,男,35-49,2
新竹縣,2008,7,男,25-34,1
新竹縣,2008,7,男,35-49,1
嘉義縣,2008,7,男,35-49,1
彰化縣,2008,7,男,15-24,2
彰化縣,2008,7,男,25-34,1
彰化縣,2008,7,男,50-64,1
台中市,2008,8,女,15-24,1
台中市,2008,8,女,25-34,2
台中市,2008,8,男,15-24,2
台中市,2008,8,男,25-34,5
台中市,2008,8,男,35-49,6
台中市,2008,8,男,50-64,1
台北市,2008,8,男,15-24,4
台北市,2008,8,男,25-34,12
台北市,2008,8,男,35-49,9
台北市,2008,8,男,50-64,1
台東縣,2008,8,男,15-24,1
台南市,2008,8,男,15-24,2
台南市,2008,8,男,25-34,1
台南市,2008,8,男,35-49,2
台南市,2008,8,男,50-64,1
宜蘭縣,2008,8,男,15-24,1
花蓮縣,2008,8,男,25-34,1
南投縣,2008,8,男,15-24,2
屏東縣,2008,8,男,25-34,1
屏東縣,2008,8,男,65以上,1
苗栗縣,2008,8,男,15-24,1
苗栗縣,2008,8,男,25-34,1
桃園市,2008,8,男,15-24,1
桃園市,2008,8,男,25-34,6
桃園市,2008,8,男,35-49,2
高雄市,2008,8,男,15-24,4
高雄市,2008,8,男,25-34,8
高雄市,2008,8,男,35-49,10
高雄市,2008,8,男,50-64,1
基隆市,2008,8,女,35-49,1
基隆市,2008,8,男,25-34,2
基隆市,2008,8,男,35-49,4
雲林縣,2008,8,男,35-49,1
新北市,2008,8,女,50-64,2
新北市,2008,8,男,15-24,6
新北市,2008,8,男,25-34,14
新北市,2008,8,男,35-49,4
新北市,2008,8,男,50-64,2
新竹市,2008,8,男,35-49,1
新竹市,2008,8,男,50-64,1
新竹縣,2008,8,男,15-24,1
新竹縣,2008,8,男,50-64,1
嘉義縣,2008,8,男,35-49,1
嘉義縣,2008,8,男,50-64,1
彰化縣,2008,8,女,35-49,1
彰化縣,2008,8,男,15-24,1
彰化縣,2008,8,男,25-34,4
彰化縣,2008,8,男,35-49,1
澎湖縣,2008,8,男,25-34,1
台中市,2008,9,女,25-34,1
台中市,2008,9,男,15-24,4
台中市,2008,9,男,25-34,7
台中市,2008,9,男,35-49,6
台北市,2008,9,女,15-24,1
台北市,2008,9,男,15-24,6
台北市,2008,9,男,25-34,7
台北市,2008,9,男,35-49,3
台北市,2008,9,男,50-64,3
台南市,2008,9,男,15-24,3
台南市,2008,9,男,25-34,4
台南市,2008,9,男,35-49,2
宜蘭縣,2008,9,男,15-24,1
花蓮縣,2008,9,男,25-34,1
花蓮縣,2008,9,男,35-49,1
南投縣,2008,9,女,35-49,1
屏東縣,2008,9,男,15-24,2
屏東縣,2008,9,男,25-34,2
屏東縣,2008,9,男,35-49,2
苗栗縣,2008,9,男,25-34,1
苗栗縣,2008,9,男,35-49,1
桃園市,2008,9,男,15-24,4
桃園市,2008,9,男,25-34,3
桃園市,2008,9,男,35-49,5
桃園市,2008,9,男,50-64,2
高雄市,2008,9,女,35-49,1
高雄市,2008,9,男,15-24,4
高雄市,2008,9,男,25-34,7
高雄市,2008,9,男,35-49,4
高雄市,2008,9,男,50-64,2
高雄市,2008,9,男,65以上,1
基隆市,2008,9,男,25-34,1
基隆市,2008,9,男,35-49,5
基隆市,2008,9,男,50-64,3
雲林縣,2008,9,男,15-24,1
雲林縣,2008,9,男,25-34,1
雲林縣,2008,9,男,35-49,1
新北市,2008,9,女,未滿15,1
新北市,2008,9,男,15-24,9
新北市,2008,9,男,25-34,14
新北市,2008,9,男,35-49,7
新北市,2008,9,男,50-64,2
新竹市,2008,9,男,15-24,1
新竹縣,2008,9,男,15-24,1
彰化縣,2008,9,男,25-34,5
彰化縣,2008,9,男,35-49,1
台中市,2008,10,女,50-64,1
台中市,2008,10,男,15-24,1
台中市,2008,10,男,25-34,7
台中市,2008,10,男,35-49,8
台中市,2008,10,男,50-64,2
台中市,2008,10,男,65以上,1
台北市,2008,10,男,15-24,9
台北市,2008,10,男,25-34,13
台北市,2008,10,男,35-49,5
台北市,2008,10,男,50-64,1
台東縣,2008,10,男,15-24,1
台東縣,2008,10,男,25-34,1
台南市,2008,10,男,15-24,4
台南市,2008,10,男,25-34,2
台南市,2008,10,男,35-49,1
宜蘭縣,2008,10,男,35-49,2
花蓮縣,2008,10,男,15-24,1
南投縣,2008,10,男,25-34,1
南投縣,2008,10,男,35-49,2
屏東縣,2008,10,男,25-34,1
屏東縣,2008,10,男,35-49,2
苗栗縣,2008,10,男,15-24,1
桃園市,2008,10,男,15-24,2
桃園市,2008,10,男,25-34,2
桃園市,2008,10,男,35-49,5
高雄市,2008,10,女,25-34,1
高雄市,2008,10,男,15-24,3
高雄市,2008,10,男,25-34,9
高雄市,2008,10,男,35-49,13
高雄市,2008,10,男,50-64,3
基隆市,2008,10,女,35-49,1
基隆市,2008,10,男,15-24,3
基隆市,2008,10,男,35-49,1
基隆市,2008,10,男,50-64,2
雲林縣,2008,10,女,35-49,2
雲林縣,2008,10,男,15-24,1
雲林縣,2008,10,男,25-34,1
雲林縣,2008,10,男,35-49,2
雲林縣,2008,10,男,50-64,2
新北市,2008,10,男,15-24,7
新北市,2008,10,男,25-34,15
新北市,2008,10,男,35-49,7
新北市,2008,10,男,50-64,1
新竹市,2008,10,男,15-24,2
新竹市,2008,10,男,25-34,3
新竹縣,2008,10,男,25-34,1
嘉義市,2008,10,男,50-64,1
嘉義縣,2008,10,男,25-34,1
嘉義縣,2008,10,男,35-49,2
彰化縣,2008,10,男,15-24,2
彰化縣,2008,10,男,25-34,2
彰化縣,2008,10,男,35-49,2
台中市,2008,11,女,50-64,1
台中市,2008,11,男,15-24,3
台中市,2008,11,男,25-34,2
台中市,2008,11,男,35-49,7
台中市,2008,11,男,50-64,2
台中市,2008,11,男,65以上,1
台北市,2008,11,男,25-34,8
台北市,2008,11,男,35-49,6
台北市,2008,11,男,50-64,1
台北市,2008,11,男,65以上,1
台東縣,2008,11,男,50-64,1
台南市,2008,11,男,25-34,3
南投縣,2008,11,女,25-34,1
南投縣,2008,11,男,15-24,1
南投縣,2008,11,男,35-49,1
屏東縣,2008,11,男,25-34,1
屏東縣,2008,11,男,35-49,1
桃園市,2008,11,男,25-34,3
桃園市,2008,11,男,35-49,1
桃園市,2008,11,男,50-64,1
高雄市,2008,11,女,15-24,1
高雄市,2008,11,男,15-24,2
高雄市,2008,11,男,25-34,9
高雄市,2008,11,男,35-49,10
基隆市,2008,11,男,25-34,2
基隆市,2008,11,男,35-49,1
雲林縣,2008,11,女,25-34,2
雲林縣,2008,11,男,25-34,2
雲林縣,2008,11,男,35-49,2
新北市,2008,11,女,35-49,2
新北市,2008,11,男,15-24,11
新北市,2008,11,男,25-34,14
新北市,2008,11,男,35-49,14
新北市,2008,11,男,50-64,1
新竹市,2008,11,男,25-34,2
新竹市,2008,11,男,35-49,1
新竹縣,2008,11,男,15-24,2
嘉義市,2008,11,男,65以上,1
嘉義縣,2008,11,男,50-64,1
嘉義縣,2008,11,男,65以上,1
彰化縣,2008,11,男,15-24,1
彰化縣,2008,11,男,25-34,1
彰化縣,2008,11,男,35-49,2
台中市,2008,12,男,15-24,8
台中市,2008,12,男,25-34,3
台中市,2008,12,男,35-49,6
台中市,2008,12,男,50-64,3
台北市,2008,12,男,15-24,3
台北市,2008,12,男,25-34,9
台北市,2008,12,男,35-49,9
台南市,2008,12,女,35-49,3
台南市,2008,12,男,15-24,3
台南市,2008,12,男,25-34,2
宜蘭縣,2008,12,男,15-24,1
宜蘭縣,2008,12,男,25-34,1
南投縣,2008,12,男,25-34,1
屏東縣,2008,12,男,15-24,1
屏東縣,2008,12,男,25-34,2
屏東縣,2008,12,男,35-49,4
苗栗縣,2008,12,女,25-34,1
苗栗縣,2008,12,男,15-24,1
苗栗縣,2008,12,男,25-34,1
桃園市,2008,12,女,25-34,1
桃園市,2008,12,女,50-64,1
桃園市,2008,12,男,15-24,1
桃園市,2008,12,男,25-34,4
桃園市,2008,12,男,35-49,3
桃園市,2008,12,男,50-64,2
高雄市,2008,12,男,15-24,4
高雄市,2008,12,男,25-34,5
高雄市,2008,12,男,35-49,7
高雄市,2008,12,男,50-64,1
基隆市,2008,12,男,35-49,3
基隆市,2008,12,男,50-64,1
雲林縣,2008,12,男,15-24,1
雲林縣,2008,12,男,35-49,2
雲林縣,2008,12,男,50-64,1
新北市,2008,12,男,15-24,9
新北市,2008,12,男,25-34,11
新北市,2008,12,男,35-49,10
新北市,2008,12,男,50-64,2
新北市,2008,12,男,65以上,1
新竹市,2008,12,男,15-24,1
新竹市,2008,12,男,25-34,2
新竹縣,2008,12,男,15-24,2
新竹縣,2008,12,男,35-49,1
嘉義市,2008,12,男,50-64,1
嘉義縣,2008,12,男,25-34,1
彰化縣,2008,12,男,15-24,1
彰化縣,2008,12,男,35-49,2
澎湖縣,2008,12,女,50-64,1
台中市,2009,1,女,15-24,1
台中市,2009,1,女,50-64,1
台中市,2009,1,男,15-24,3
台中市,2009,1,男,25-34,5
台中市,2009,1,男,35-49,4
台中市,2009,1,男,50-64,3
台北市,2009,1,女,25-34,1
台北市,2009,1,男,15-24,4
台北市,2009,1,男,25-34,6
台北市,2009,1,男,35-49,5
台北市,2009,1,男,50-64,1
台南市,2009,1,男,15-24,1
台南市,2009,1,男,25-34,1
南投縣,2009,1,男,35-49,1
屏東縣,2009,1,男,15-24,1
屏東縣,2009,1,男,25-34,3
屏東縣,2009,1,男,50-64,2
桃園市,2009,1,女,25-34,1
桃園市,2009,1,女,35-49,1
桃園市,2009,1,男,15-24,1
桃園市,2009,1,男,25-34,1
高雄市,2009,1,男,15-24,5
高雄市,2009,1,男,25-34,6
高雄市,2009,1,男,35-49,3
基隆市,2009,1,男,15-24,1
基隆市,2009,1,男,35-49,1
雲林縣,2009,1,女,25-34,1
雲林縣,2009,1,女,50-64,1
雲林縣,2009,1,男,25-34,1
新北市,2009,1,女,25-34,1
新北市,2009,1,男,15-24,6
新北市,2009,1,男,25-34,8
新北市,2009,1,男,35-49,7
新北市,2009,1,男,50-64,4
新竹市,2009,1,男,15-24,1
新竹縣,2009,1,男,35-49,2
嘉義市,2009,1,男,15-24,1
嘉義縣,2009,1,男,15-24,2
彰化縣,2009,1,男,35-49,2
彰化縣,2009,1,男,50-64,1
台中市,2009,2,男,15-24,2
台中市,2009,2,男,25-34,6
台中市,2009,2,男,35-49,4
台中市,2009,2,男,50-64,2
台北市,2009,2,男,15-24,4
台北市,2009,2,男,25-34,7
台北市,2009,2,男,35-49,7
台北市,2009,2,男,50-64,3
台北市,2009,2,男,未滿15,1
台南市,2009,2,男,15-24,1
台南市,2009,2,男,25-34,3
台南市,2009,2,男,35-49,1
花蓮縣,2009,2,男,15-24,1
花蓮縣,2009,2,男,35-49,1
金門縣,2009,2,男,25-34,1
南投縣,2009,2,男,15-24,1
屏東縣,2009,2,女,25-34,1
屏東縣,2009,2,男,15-24,3
屏東縣,2009,2,男,25-34,1
屏東縣,2009,2,男,35-49,1
苗栗縣,2009,2,男,35-49,2
苗栗縣,2009,2,男,65以上,1
桃園市,2009,2,男,15-24,1
桃園市,2009,2,男,25-34,4
桃園市,2009,2,男,35-49,2
桃園市,2009,2,男,50-64,1
高雄市,2009,2,男,15-24,5
高雄市,2009,2,男,25-34,3
高雄市,2009,2,男,35-49,3
基隆市,2009,2,男,15-24,1
基隆市,2009,2,男,25-34,1
基隆市,2009,2,男,35-49,2
雲林縣,2009,2,男,35-49,2
新北市,2009,2,女,35-49,1
新北市,2009,2,男,15-24,11
新北市,2009,2,男,25-34,20
新北市,2009,2,男,35-49,5
新北市,2009,2,男,50-64,1
新北市,2009,2,男,65以上,1
新竹市,2009,2,男,25-34,2
新竹縣,2009,2,男,15-24,1
嘉義縣,2009,2,男,35-49,2
彰化縣,2009,2,女,25-34,1
彰化縣,2009,2,男,15-24,1
彰化縣,2009,2,男,25-34,3
彰化縣,2009,2,男,35-49,1
彰化縣,2009,2,男,50-64,1
台中市,2009,3,女,35-49,1
台中市,2009,3,男,15-24,12
台中市,2009,3,男,25-34,6
台中市,2009,3,男,35-49,5
台北市,2009,3,男,15-24,10
台北市,2009,3,男,25-34,8
台北市,2009,3,男,35-49,11
台北市,2009,3,男,50-64,2
台東縣,2009,3,男,25-34,1
台南市,2009,3,男,15-24,3
台南市,2009,3,男,25-34,2
台南市,2009,3,男,35-49,1
台南市,2009,3,男,50-64,1
花蓮縣,2009,3,男,25-34,1
屏東縣,2009,3,男,15-24,1
屏東縣,2009,3,男,25-34,2
屏東縣,2009,3,男,35-49,1
苗栗縣,2009,3,男,15-24,1
桃園市,2009,3,女,15-24,1
桃園市,2009,3,女,35-49,1
桃園市,2009,3,男,15-24,2
桃園市,2009,3,男,25-34,7
桃園市,2009,3,男,35-49,1
高雄市,2009,3,女,15-24,1
高雄市,2009,3,男,15-24,7
高雄市,2009,3,男,25-34,8
高雄市,2009,3,男,35-49,9
基隆市,2009,3,女,35-49,1
基隆市,2009,3,男,25-34,1
基隆市,2009,3,男,35-49,3
基隆市,2009,3,男,50-64,1
雲林縣,2009,3,男,25-34,3
雲林縣,2009,3,男,35-49,1
新北市,2009,3,女,25-34,1
新北市,2009,3,女,35-49,2
新北市,2009,3,女,50-64,1
新北市,2009,3,男,15-24,10
新北市,2009,3,男,25-34,18
新北市,2009,3,男,35-49,5
新竹市,2009,3,男,15-24,1
新竹市,2009,3,男,25-34,1
新竹市,2009,3,男,35-49,1
新竹縣,2009,3,男,15-24,1
嘉義市,2009,3,男,15-24,1
嘉義縣,2009,3,男,15-24,3
彰化縣,2009,3,女,25-34,1
彰化縣,2009,3,男,15-24,1
彰化縣,2009,3,男,25-34,1
彰化縣,2009,3,男,35-49,1
彰化縣,2009,3,男,50-64,1
台中市,2009,4,男,15-24,6
台中市,2009,4,男,25-34,5
台中市,2009,4,男,35-49,3
台中市,2009,4,男,65以上,1
台北市,2009,4,女,35-49,1
台北市,2009,4,男,15-24,9
台北市,2009,4,男,25-34,9
台北市,2009,4,男,35-49,7
台北市,2009,4,男,50-64,2
台南市,2009,4,男,15-24,1
台南市,2009,4,男,25-34,3
台南市,2009,4,男,35-49,3
宜蘭縣,2009,4,男,15-24,1
宜蘭縣,2009,4,男,25-34,1
宜蘭縣,2009,4,男,35-49,1
屏東縣,2009,4,女,35-49,1
屏東縣,2009,4,男,15-24,1
屏東縣,2009,4,男,35-49,2
屏東縣,2009,4,男,50-64,2
苗栗縣,2009,4,男,25-34,2
桃園市,2009,4,女,25-34,1
桃園市,2009,4,男,15-24,1
桃園市,2009,4,男,25-34,3
桃園市,2009,4,男,35-49,4
桃園市,2009,4,男,50-64,1
高雄市,2009,4,男,15-24,5
高雄市,2009,4,男,25-34,6
高雄市,2009,4,男,35-49,8
基隆市,2009,4,女,25-34,1
基隆市,2009,4,男,25-34,1
基隆市,2009,4,男,50-64,1
雲林縣,2009,4,男,25-34,1
雲林縣,2009,4,男,35-49,1
新北市,2009,4,男,15-24,10
新北市,2009,4,男,25-34,18
新北市,2009,4,男,35-49,7
新北市,2009,4,男,50-64,2
新竹市,2009,4,男,15-24,1
新竹市,2009,4,男,25-34,1
新竹縣,2009,4,男,15-24,1
嘉義縣,2009,4,男,25-34,1
嘉義縣,2009,4,男,35-49,1
彰化縣,2009,4,男,15-24,1
彰化縣,2009,4,男,25-34,1
彰化縣,2009,4,男,35-49,2
台中市,2009,5,男,15-24,6
台中市,2009,5,男,25-34,10
台中市,2009,5,男,35-49,5
台中市,2009,5,男,50-64,1
台北市,2009,5,男,15-24,1
台北市,2009,5,男,25-34,7
台北市,2009,5,男,35-49,9
台北市,2009,5,男,50-64,1
台北市,2009,5,男,65以上,1
台南市,2009,5,男,25-34,3
台南市,2009,5,男,35-49,3
花蓮縣,2009,5,男,15-24,1
花蓮縣,2009,5,男,25-34,1
金門縣,2009,5,男,35-49,1
南投縣,2009,5,男,25-34,1
屏東縣,2009,5,男,15-24,1
屏東縣,2009,5,男,25-34,1
屏東縣,2009,5,男,35-49,3
苗栗縣,2009,5,男,15-24,1
苗栗縣,2009,5,男,25-34,1
桃園市,2009,5,男,15-24,2
桃園市,2009,5,男,25-34,4
桃園市,2009,5,男,35-49,6
桃園市,2009,5,男,50-64,1
桃園市,2009,5,男,65以上,1
高雄市,2009,5,男,15-24,9
高雄市,2009,5,男,25-34,1
高雄市,2009,5,男,35-49,3
高雄市,2009,5,男,50-64,3
基隆市,2009,5,男,65以上,2
雲林縣,2009,5,男,25-34,2
雲林縣,2009,5,男,35-49,1
新北市,2009,5,女,35-49,1
新北市,2009,5,男,15-24,7
新北市,2009,5,男,25-34,14
新北市,2009,5,男,35-49,6
新北市,2009,5,男,50-64,4
新竹市,2009,5,男,25-34,1
新竹市,2009,5,男,50-64,1
新竹縣,2009,5,男,15-24,1
新竹縣,2009,5,男,25-34,1
嘉義市,2009,5,男,25-34,2
嘉義市,2009,5,男,50-64,1
嘉義縣,2009,5,女,25-34,1
嘉義縣,2009,5,男,35-49,2
彰化縣,2009,5,男,15-24,1
彰化縣,2009,5,男,25-34,2
彰化縣,2009,5,男,35-49,3
台中市,2009,6,女,35-49,1
台中市,2009,6,男,15-24,4
台中市,2009,6,男,25-34,2
台中市,2009,6,男,35-49,3
台北市,2009,6,男,15-24,2
台北市,2009,6,男,25-34,7
台北市,2009,6,男,35-49,5
台南市,2009,6,男,15-24,4
台南市,2009,6,男,25-34,3
台南市,2009,6,男,35-49,1
花蓮縣,2009,6,男,35-49,1
南投縣,2009,6,男,15-24,1
南投縣,2009,6,男,35-49,1
屏東縣,2009,6,男,25-34,2
屏東縣,2009,6,男,35-49,1
苗栗縣,2009,6,男,15-24,1
苗栗縣,2009,6,男,65以上,1
桃園市,2009,6,女,25-34,1
桃園市,2009,6,男,15-24,4
桃園市,2009,6,男,25-34,7
桃園市,2009,6,男,35-49,3
桃園市,2009,6,男,50-64,1
高雄市,2009,6,女,15-24,2
高雄市,2009,6,女,50-64,1
高雄市,2009,6,男,15-24,2
高雄市,2009,6,男,25-34,8
高雄市,2009,6,男,35-49,2
高雄市,2009,6,男,50-64,1
高雄市,2009,6,男,65以上,1
雲林縣,2009,6,男,15-24,1
雲林縣,2009,6,男,25-34,3
雲林縣,2009,6,男,35-49,3
新北市,2009,6,男,15-24,13
新北市,2009,6,男,25-34,14
新北市,2009,6,男,35-49,5
新北市,2009,6,男,50-64,2
新竹市,2009,6,男,25-34,2
新竹市,2009,6,男,35-49,1
嘉義市,2009,6,男,35-49,1
彰化縣,2009,6,男,15-24,2
彰化縣,2009,6,男,25-34,1
澎湖縣,2009,6,男,35-49,1
台中市,2009,7,女,25-34,1
台中市,2009,7,男,15-24,4
台中市,2009,7,男,25-34,5
台中市,2009,7,男,35-49,7
台中市,2009,7,男,50-64,1
台北市,2009,7,女,15-24,1
台北市,2009,7,男,15-24,4
台北市,2009,7,男,25-34,7
台北市,2009,7,男,35-49,8
台北市,2009,7,男,50-64,2
台南市,2009,7,女,50-64,1
台南市,2009,7,男,15-24,2
台南市,2009,7,男,35-49,1
宜蘭縣,2009,7,男,50-64,1
花蓮縣,2009,7,男,15-24,2
南投縣,2009,7,男,15-24,1
南投縣,2009,7,男,25-34,3
南投縣,2009,7,男,35-49,2
屏東縣,2009,7,女,25-34,1
屏東縣,2009,7,男,15-24,1
屏東縣,2009,7,男,25-34,1
屏東縣,2009,7,男,35-49,2
屏東縣,2009,7,男,50-64,1
桃園市,2009,7,男,15-24,2
桃園市,2009,7,男,25-34,5
桃園市,2009,7,男,35-49,2
桃園市,2009,7,男,50-64,1
高雄市,2009,7,男,15-24,4
高雄市,2009,7,男,25-34,6
高雄市,2009,7,男,35-49,5
基隆市,2009,7,女,50-64,1
基隆市,2009,7,男,25-34,1
基隆市,2009,7,男,35-49,1
基隆市,2009,7,男,50-64,1
雲林縣,2009,7,男,35-49,1
新北市,2009,7,男,15-24,1
新北市,2009,7,男,25-34,17
新北市,2009,7,男,35-49,11
新北市,2009,7,男,50-64,1
新竹市,2009,7,男,15-24,2
新竹市,2009,7,男,25-34,3
新竹市,2009,7,男,35-49,1
新竹縣,2009,7,男,15-24,2
新竹縣,2009,7,男,25-34,2
新竹縣,2009,7,男,35-49,1
嘉義市,2009,7,男,25-34,2
嘉義縣,2009,7,男,35-49,1
嘉義縣,2009,7,男,50-64,1
彰化縣,2009,7,男,15-24,2
彰化縣,2009,7,男,25-34,1
彰化縣,2009,7,男,35-49,3
台中市,2009,8,女,15-24,1
台中市,2009,8,男,15-24,6
台中市,2009,8,男,25-34,10
台中市,2009,8,男,35-49,1
台中市,2009,8,男,50-64,2
台中市,2009,8,男,65以上,1
台北市,2009,8,男,15-24,2
台北市,2009,8,男,25-34,4
台北市,2009,8,男,35-49,5
台東縣,2009,8,男,15-24,1
台南市,2009,8,男,15-24,2
台南市,2009,8,男,25-34,3
台南市,2009,8,男,35-49,1
台南市,2009,8,男,50-64,1
宜蘭縣,2009,8,男,15-24,1
南投縣,2009,8,男,35-49,1
屏東縣,2009,8,男,25-34,2
屏東縣,2009,8,男,35-49,2
屏東縣,2009,8,男,50-64,1
苗栗縣,2009,8,男,25-34,1
苗栗縣,2009,8,男,35-49,1
桃園市,2009,8,男,15-24,3
桃園市,2009,8,男,25-34,10
桃園市,2009,8,男,35-49,2
桃園市,2009,8,男,50-64,1
高雄市,2009,8,男,15-24,8
高雄市,2009,8,男,25-34,7
高雄市,2009,8,男,35-49,5
高雄市,2009,8,男,65以上,1
基隆市,2009,8,男,25-34,1
雲林縣,2009,8,男,25-34,2
雲林縣,2009,8,男,35-49,1
雲林縣,2009,8,男,65以上,1
新北市,2009,8,男,15-24,11
新北市,2009,8,男,25-34,20
新北市,2009,8,男,35-49,6
新北市,2009,8,男,50-64,1
新竹市,2009,8,男,15-24,1
新竹市,2009,8,男,35-49,2
新竹市,2009,8,男,50-64,1
嘉義市,2009,8,男,25-34,1
嘉義縣,2009,8,男,25-34,1
嘉義縣,2009,8,男,35-49,1
彰化縣,2009,8,男,15-24,3
彰化縣,2009,8,男,35-49,1
台中市,2009,9,男,15-24,4
台中市,2009,9,男,25-34,2
台中市,2009,9,男,35-49,5
台北市,2009,9,男,15-24,3
台北市,2009,9,男,25-34,7
台北市,2009,9,男,35-49,3
台北市,2009,9,男,50-64,1
台北市,2009,9,男,65以上,1
台南市,2009,9,男,25-34,5
台南市,2009,9,男,35-49,2
台南市,2009,9,男,65以上,1
宜蘭縣,2009,9,男,25-34,1
花蓮縣,2009,9,男,35-49,1
南投縣,2009,9,男,25-34,1
屏東縣,2009,9,男,15-24,1
屏東縣,2009,9,男,25-34,2
屏東縣,2009,9,男,35-49,1
屏東縣,2009,9,男,50-64,1
苗栗縣,2009,9,女,15-24,1
苗栗縣,2009,9,男,15-24,1
桃園市,2009,9,女,35-49,1
桃園市,2009,9,男,15-24,4
桃園市,2009,9,男,25-34,7
桃園市,2009,9,男,35-49,6
桃園市,2009,9,男,50-64,1
高雄市,2009,9,男,15-24,9
高雄市,2009,9,男,25-34,6
高雄市,2009,9,男,35-49,4
基隆市,2009,9,男,15-24,1
基隆市,2009,9,男,25-34,1
基隆市,2009,9,男,35-49,1
雲林縣,2009,9,男,15-24,1
雲林縣,2009,9,男,25-34,1
新北市,2009,9,男,15-24,7
新北市,2009,9,男,25-34,27
新北市,2009,9,男,35-49,7
新北市,2009,9,男,50-64,5
新竹市,2009,9,男,15-24,1
新竹市,2009,9,男,25-34,2
新竹縣,2009,9,男,15-24,1
新竹縣,2009,9,男,25-34,1
嘉義市,2009,9,男,15-24,1
彰化縣,2009,9,男,15-24,2
彰化縣,2009,9,男,35-49,1
台中市,2009,10,男,15-24,2
台中市,2009,10,男,25-34,9
台中市,2009,10,男,35-49,8
台中市,2009,10,男,50-64,2
台北市,2009,10,女,25-34,1
台北市,2009,10,女,50-64,2
台北市,2009,10,男,15-24,1
台北市,2009,10,男,25-34,4
台北市,2009,10,男,35-49,6
台北市,2009,10,男,50-64,1
台東縣,2009,10,男,15-24,1
台東縣,2009,10,男,35-49,1
台南市,2009,10,男,15-24,6
台南市,2009,10,男,25-34,3
台南市,2009,10,男,35-49,1
南投縣,2009,10,男,25-34,2
南投縣,2009,10,男,35-49,1
桃園市,2009,10,男,15-24,4
桃園市,2009,10,男,25-34,7
桃園市,2009,10,男,35-49,4
桃園市,2009,10,男,50-64,1
高雄市,2009,10,女,65以上,1
高雄市,2009,10,男,15-24,11
高雄市,2009,10,男,25-34,3
高雄市,2009,10,男,35-49,5
高雄市,2009,10,男,50-64,2
基隆市,2009,10,男,未滿15,1
